"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"247","Nick Spaling","C","Free Agent",71,13,19,32,1500000,8.67,12.67,21.33,"C","2013/2014"
"248","Eric Fehr","C","San Jose Sharks",73,13,18,31,1500000,8.67,12,20.67,"C","2013/2014"
"249","Brenden Morrow","LW","Free Agent",71,13,12,25,1500000,8.67,8,16.67,"C","2013/2014"
"250","Jay McClement","C","Free Agent",81,4,6,10,1500000,2.67,4,6.67,"D","2013/2014"
"251","Michael Rupp","RW","Inactive",13,0,1,1,1500000,0,0.67,0.67,"D","2013/2014"
"252","Kyle Palmieri","RW","New Jersey Devils",71,14,17,31,1466670,9.55,11.59,21.14,"C","2013/2014"
"253","Filip Forsberg","LW","Nashville Predators",13,1,4,5,1460830,0.68,2.74,3.42,"D","2013/2014"
"254","Sven Baertschi","LW","Vancouver Canucks",26,2,9,11,1425420,1.4,6.31,7.72,"D","2013/2014"
"255","Teuvo Teravainen","RW","Carolina Hurricanes",3,0,0,0,1425000,0,0,0,"D","2013/2014"
"256","J.T. Miller","C","Tampa Bay Lightning",30,3,3,6,1419170,2.11,2.11,4.23,"D","2013/2014"
"257","Sean Couturier","C","Philadelphia Flyers",82,13,26,39,1375000,9.45,18.91,28.36,"C","2013/2014"
"258","Zemgus Girgensons","C","Buffalo Sabres",70,8,14,22,1369170,5.84,10.23,16.07,"C","2013/2014"
"259","Tomas Hertl","C","San Jose Sharks",37,15,10,25,1350000,11.11,7.41,18.52,"C","2013/2014"
"260","Matt Beleskey","LW","New York Rangers",55,9,15,24,1350000,6.67,11.11,17.78,"C","2013/2014"
"261","Jannik Hansen","RW","San Jose Sharks",71,11,9,20,1350000,8.15,6.67,14.81,"C","2013/2014"
"262","Drew Miller","LW","Free Agent",82,7,8,15,1350000,5.19,5.93,11.11,"D","2013/2014"
"263","Chris Kreider","LW","New York Rangers",66,17,20,37,1325000,12.83,15.09,27.92,"C","2013/2014"
"264","Marcus Kruger","C","Arizona Coyotes",81,8,20,28,1325000,6.04,15.09,21.13,"C","2013/2014"
"265","Lars Eller","C","Washington Capitals",77,12,14,26,1325000,9.06,10.57,19.62,"C","2013/2014"
"266","Trevor Lewis","RW","Los Angeles Kings",73,6,5,11,1325000,4.53,3.77,8.3,"D","2013/2014"
"267","Benoit Pouliot","LW","Buffalo Sabres",80,15,21,36,1300000,11.54,16.15,27.69,"C","2013/2014"
"268","Vladimir Sobotka","C","St Louis Blues",61,9,24,33,1300000,6.92,18.46,25.38,"C","2013/2014"
"269","Daniel Paille","LW","New York Rangers",72,9,9,18,1300000,6.92,6.92,13.85,"D","2013/2014"
"270","Peter Holland","RW","New York Rangers",43,6,5,11,1295000,4.63,3.86,8.49,"D","2013/2014"
"271","Tom Wilson","RW","Washington Capitals",82,3,7,10,1294170,2.32,5.41,7.73,"D","2013/2014"
"272","Mark Letestu","C","Columbus Blue Jackets",82,12,22,34,1250000,9.6,17.6,27.2,"C","2013/2014"
"273","T.J. Galiardi","LW","Free Agent",62,4,13,17,1250000,3.2,10.4,13.6,"D","2013/2014"
"274","Erik Condra","RW","Tampa Bay Lightning",76,6,10,16,1250000,4.8,8,12.8,"D","2013/2014"
"275","Patrick Kaleta","RW","Free Agent",5,0,0,0,1250000,0,0,0,"D","2013/2014"
"276","Magnus Paajarvi","LW","Ottawa Senators",55,6,6,12,1200000,5,5,10,"D","2013/2014"
"277","Cody McCormick","C","Buffalo Sabres",43,2,5,7,1200000,1.67,4.17,5.83,"D","2013/2014"
"278","Patrick Eaves","RW","Anaheim Ducks",30,2,3,5,1200000,1.67,2.5,4.17,"D","2013/2014"
"279","Joey Hishon","C","Colorado Avalanche",2,0,0,0,1200000,0,0,0,"D","2013/2014"
"280","Louis Leblanc","C","New York Islanders",8,0,0,0,1170000,0,0,0,"D","2013/2014"
"281","Jaden Schwartz","LW","St Louis Blues",80,25,31,56,1166670,21.43,26.57,48,"C","2013/2014"
"282","Mats Zuccarello","RW","New York Rangers",77,19,40,59,1150000,16.52,34.78,51.3,"C","2013/2014"
"283","Cam Atkinson","RW","Columbus Blue Jackets",79,21,19,40,1150000,18.26,16.52,34.78,"C","2013/2014"
"284","Brad Richardson","C","Arizona Coyotes",73,11,12,23,1150000,9.57,10.43,20,"C","2013/2014"
"285","Cody McLeod","LW","New York Rangers",71,5,8,13,1150000,4.35,6.96,11.3,"D","2013/2014"
"286","B.J. Crombeen","RW","Free Agent",55,3,7,10,1150000,2.61,6.09,8.7,"D","2013/2014"
"287","Nick Bjugstad","RW","Florida Panthers",76,16,22,38,1100000,14.55,20,34.55,"C","2013/2014"
"288","John Mitchell","C","Colorado Avalanche",75,11,21,32,1100000,10,19.09,29.09,"C","2013/2014"
"289","Maxim Lapierre","C","Free Agent",71,9,6,15,1100000,8.18,5.45,13.64,"D","2013/2014"
"290","Tanner Glass","LW","Calgary Flames",67,4,9,13,1100000,3.64,8.18,11.82,"D","2013/2014"
"291","Shawn Thornton","RW","Florida Panthers",64,5,3,8,1100000,4.55,2.73,7.27,"D","2013/2014"
"292","Drew Shore","C","Vancouver Canucks",24,5,2,7,1100000,4.55,1.82,6.36,"D","2013/2014"
"293","Ben Eager","LW","Inactive",7,0,1,1,1100000,0,0.91,0.91,"D","2013/2014"
"294","Jerry D'Amigo","RW","Buffalo Sabres",22,1,2,3,1082500,0.92,1.85,2.77,"D","2013/2014"
"295","Kyle Clifford","LW","Los Angeles Kings",71,3,5,8,1075000,2.79,4.65,7.44,"D","2013/2014"
"296","Quinton Howden","C","Winnipeg Jets",16,4,2,6,1070000,3.74,1.87,5.61,"D","2013/2014"
"297","Darroll Powe","C","Inactive",1,0,0,0,1066670,0,0,0,"D","2013/2014"
"298","Mathieu Perreault","LW","Winnipeg Jets",69,18,25,43,1050000,17.14,23.81,40.95,"C","2013/2014"
"299","Jared Boll","RW","Anaheim Ducks",28,1,1,2,1050000,0.95,0.95,1.9,"D","2013/2014"
"300","Carter Ashton","RW","Tampa Bay Lightning",32,0,3,3,1040000,0,2.88,2.88,"D","2013/2014"
"301","Vladislav Namestnikov","LW","New York Rangers",4,0,0,0,1012500,0,0,0,"D","2013/2014"
"302","Carl Soderberg","C","Colorado Avalanche",73,16,32,48,1008330,15.87,31.74,47.6,"C","2013/2014"
"303","Mason Raymond","LW","Free Agent",82,19,26,45,1e+06,19,26,45,"C","2013/2014"
"304","Brad Boyes","RW","Toronto Maple Leafs",78,21,15,36,1e+06,21,15,36,"C","2013/2014"
"305","Derek MacKenzie","C","Florida Panthers",71,9,9,18,1e+06,9,9,18,"D","2013/2014"
"306","Dominic Moore","C","Toronto Maple Leafs",73,6,12,18,1e+06,6,12,18,"D","2013/2014"
"307","Blake Comeau","RW","Colorado Avalanche",61,5,11,16,1e+06,5,11,16,"D","2013/2014"
"308","Michal Handzus","C","Inactive",59,4,12,16,1e+06,4,12,16,"D","2013/2014"
"309","Matt Martin","LW","Toronto Maple Leafs",79,8,6,14,1e+06,8,6,14,"D","2013/2014"
"310","Patrick Bordeleau","C","Colorado Avalanche",82,6,5,11,1e+06,6,5,11,"D","2013/2014"
"311","Rostislav Olesz","C","Inactive",10,0,2,2,1e+06,0,2,2,"D","2013/2014"
"312","Arron Asham","RW","Inactive",6,0,0,0,1e+06,0,0,0,"D","2013/2014"
"313","Matt Calvert","LW","Columbus Blue Jackets",56,9,15,24,987500,9.11,15.19,24.3,"C","2013/2014"
"314","Charlie Coyle","C","Minnesota Wild",70,12,18,30,975000,12.31,18.46,30.77,"C","2013/2014"
"315","Christian Thomas","RW","Washington Capitals",2,0,0,0,970000,0,0,0,"D","2013/2014"
"316","Gustav Nyquist","RW","Detroit Red Wings",57,28,20,48,950000,29.47,21.05,50.53,"C","2013/2014"
"317","Jesse Joensuu","LW","Edmonton Oilers",42,3,2,5,950000,3.16,2.11,5.26,"D","2013/2014"
"318","George Parros","RW","Free Agent",22,0,1,1,937500,0,1.07,1.07,"D","2013/2014"
"319","Cory Conacher","LW","Tampa Bay Lightning",79,7,19,26,925000,7.57,20.54,28.11,"C","2013/2014"
"320","Matthew Nieto","LW","Colorado Avalanche",66,10,14,24,925000,10.81,15.14,25.95,"C","2013/2014"
"321","Michael Raffl","RW","Philadelphia Flyers",68,9,13,22,925000,9.73,14.05,23.78,"C","2013/2014"
"322","Tomas Jurco","LW","Chicago Blackhawks",36,8,7,15,925000,8.65,7.57,16.22,"D","2013/2014"
"323","Jayson Megna","RW","Vancouver Canucks",36,5,4,9,925000,5.41,4.32,9.73,"D","2013/2014"
"324","Tanner Pearson","LW","Los Angeles Kings",25,3,4,7,925000,3.24,4.32,7.57,"D","2013/2014"
"325","Reid Boucher","C","Vancouver Canucks",23,2,5,7,925000,2.16,5.41,7.57,"D","2013/2014"
"326","Markus Granlund","C","Vancouver Canucks",7,2,1,3,925000,2.16,1.08,3.24,"D","2013/2014"
"327","Zenon Konopka","C","Inactive",59,1,2,3,925000,1.08,2.16,3.24,"D","2013/2014"
"328","Dmitrij Jaskin","LW","St Louis Blues",18,1,1,2,925000,1.08,1.08,2.16,"D","2013/2014"
"329","Josh Leivo","LW","Toronto Maple Leafs",7,1,1,2,925000,1.08,1.08,2.16,"D","2013/2014"
"330","Mike Zalewski","LW","Vancouver Canucks",2,0,1,1,925000,0,1.08,1.08,"D","2013/2014"
"331","Matt Carey","LW","Chicago Blackhawks",2,1,0,1,925000,1.08,0,1.08,"D","2013/2014"
"332","Johan Sundstrom","C","Inactive",11,0,1,1,925000,0,1.08,1.08,"D","2013/2014"
"333","Cedric Paquette","C","Tampa Bay Lightning",2,0,1,1,925000,0,1.08,1.08,"D","2013/2014"
"334","Colton Orr","RW","Toronto Maple Leafs",54,0,0,0,925000,0,0,0,"D","2013/2014"
"335","Cody Kunyk","RW","Inactive",1,0,0,0,925000,0,0,0,"D","2013/2014"
"336","Matt Lindblad","LW","New York Rangers",2,0,0,0,925000,0,0,0,"D","2013/2014"
"337","Reilly Smith","RW","Vegas Golden Knights",82,20,31,51,9e+05,22.22,34.44,56.67,"C","2013/2014"
"338","Tyler Johnson","RW","Tampa Bay Lightning",82,24,26,50,9e+05,26.67,28.89,55.56,"C","2013/2014"
"339","Matt Read","RW","Philadelphia Flyers",75,22,18,40,9e+05,24.44,20,44.44,"C","2013/2014"
"340","Alex Chiasson","RW","Washington Capitals",79,13,22,35,9e+05,14.44,24.44,38.89,"C","2013/2014"
"341","Riley Sheahan","C","Pittsburgh Penguins",42,9,15,24,9e+05,10,16.67,26.67,"C","2013/2014"
"342","Pat Dwyer","RW","Free Agent",75,8,14,22,9e+05,8.89,15.56,24.44,"C","2013/2014"
"343","Marcus Foligno","LW","Minnesota Wild",74,7,12,19,9e+05,7.78,13.33,21.11,"D","2013/2014"
"344","Casey Cizikas","C","New York Islanders",80,6,10,16,9e+05,6.67,11.11,17.78,"D","2013/2014"
"345","Richard Panik","LW","Arizona Coyotes",50,3,10,13,9e+05,3.33,11.11,14.44,"D","2013/2014"
"346","Scott Gomez","C","Ottawa Senators",46,2,10,12,9e+05,2.22,11.11,13.33,"D","2013/2014"
"347","Calle Jarnkrok","RW","Nashville Predators",12,2,7,9,9e+05,2.22,7.78,10,"D","2013/2014"
"348","Jay Beagle","C","Washington Capitals",62,4,5,9,9e+05,4.44,5.56,10,"D","2013/2014"
"349","Beau Bennett","RW","St Louis Blues",21,3,4,7,9e+05,3.33,4.44,7.78,"D","2013/2014"
"350","Linden Vey","RW","Calgary Flames",18,0,5,5,9e+05,0,5.56,5.56,"D","2013/2014"
"351","Chris Brown","C","New York Rangers",12,1,1,2,9e+05,1.11,1.11,2.22,"D","2013/2014"
"352","Ben Hanowski","RW","Inactive",11,0,2,2,9e+05,0,2.22,2.22,"D","2013/2014"
"353","Kenny Agostino","LW","Boston Bruins",8,1,1,2,9e+05,1.11,1.11,2.22,"D","2013/2014"
"354","Justin Florek","LW","Boston Bruins",4,1,1,2,9e+05,1.11,1.11,2.22,"D","2013/2014"
"355","Anton Lander","C","Edmonton Oilers",27,0,1,1,9e+05,0,1.11,1.11,"D","2013/2014"
"356","Jason Akeson","C","Ottawa Senators",1,0,1,1,9e+05,0,1.11,1.11,"D","2013/2014"
"357","Michael Chaput","C","Vancouver Canucks",17,0,1,1,9e+05,0,1.11,1.11,"D","2013/2014"
"358","Tyler Pitlick","RW","Dallas Stars",10,1,0,1,9e+05,1.11,0,1.11,"D","2013/2014"
"359","Patrick Holland","RW","Inactive",5,0,0,0,9e+05,0,0,0,"D","2013/2014"
"360","Teemu Pulkkinen","LW","Vegas Golden Knights",3,0,0,0,9e+05,0,0,0,"D","2013/2014"
"361","Jesper Fast","RW","New York Rangers",11,0,0,0,9e+05,0,0,0,"D","2013/2014"
"362","Bill Arnold","C","Inactive",1,0,0,0,9e+05,0,0,0,"D","2013/2014"
"363","Joonas Nattinen","C","Inactive",1,0,0,0,9e+05,0,0,0,"D","2013/2014"
"364","Max Reinhart","C","Ottawa Senators",8,0,2,2,895000,0,2.23,2.23,"D","2013/2014"
"365","Brandon Saad","LW","Chicago Blackhawks",78,19,28,47,894167,21.25,31.31,52.56,"C","2013/2014"
"366","Boone Jenner","LW","Columbus Blue Jackets",72,16,13,29,894167,17.89,14.54,32.43,"C","2013/2014"
"367","Nikita Kucherov","RW","Tampa Bay Lightning",52,9,9,18,894167,10.07,10.07,20.13,"D","2013/2014"
"368","Vincent Trocheck","C","Florida Panthers",20,5,3,8,894167,5.59,3.36,8.95,"D","2013/2014"
"369","Rickard Rakell","LW","Anaheim Ducks",18,0,4,4,894167,0,4.47,4.47,"D","2013/2014"
"370","Lucas Lessio","LW","Montreal Canadiens",3,0,0,0,894167,0,0,0,"D","2013/2014"
"371","Ty Rattie","RW","Edmonton Oilers",2,0,0,0,894167,0,0,0,"D","2013/2014"
"372","Alexander Khokhlachev","C","Boston Bruins",1,0,0,0,894167,0,0,0,"D","2013/2014"
"373","Jeremy Morin","LW","Tampa Bay Lightning",24,5,6,11,886667,5.64,6.77,12.41,"D","2013/2014"
"374","Taylor Beck","LW","New York Rangers",7,0,0,0,886667,0,0,0,"D","2013/2014"
"375","Colton Sissons","C","Nashville Predators",17,1,3,4,878333,1.14,3.42,4.55,"D","2013/2014"
"376","Freddie Hamilton","RW","Arizona Coyotes",11,0,0,0,878333,0,0,0,"D","2013/2014"
"377","Alex Killorn","C","Tampa Bay Lightning",82,17,24,41,875000,19.43,27.43,46.86,"C","2013/2014"
"378","Kyle Chipchura","C","Arizona Coyotes",80,5,15,20,875000,5.71,17.14,22.86,"D","2013/2014"
"379","Paul Carey","LW","New York Rangers",12,0,0,0,875000,0,0,0,"D","2013/2014"
"380","J.T. Brown","RW","Anaheim Ducks",63,4,15,19,874125,4.58,17.16,21.74,"D","2013/2014"
"381","Mark Stone","RW","Ottawa Senators",19,4,4,8,873333,4.58,4.58,9.16,"D","2013/2014"
"382","Brendan Gallagher","RW","Montreal Canadiens",81,19,22,41,870000,21.84,25.29,47.13,"C","2013/2014"
"383","Tyler Toffoli","RW","Los Angeles Kings",62,12,17,29,870000,13.79,19.54,33.33,"C","2013/2014"
"384","Zack Kassian","RW","Edmonton Oilers",73,14,15,29,870000,16.09,17.24,33.33,"C","2013/2014"
"385","Brandon Pirri","C","Vegas Golden Knights",49,13,12,25,870000,14.94,13.79,28.74,"C","2013/2014"
"386","Michael Bournival","LW","Tampa Bay Lightning",60,7,7,14,870000,8.05,8.05,16.09,"D","2013/2014"
"387","Emerson Etem","RW","Arizona Coyotes",29,7,4,11,870000,8.05,4.6,12.64,"D","2013/2014"
"388","Ryan Spooner","C","New York Rangers",23,0,11,11,870000,0,12.64,12.64,"D","2013/2014"
"389","Devante Smith-Pelly","RW","Washington Capitals",19,2,8,10,870000,2.3,9.2,11.49,"D","2013/2014"
"390","Johan Larsson","C","Buffalo Sabres",28,0,4,4,870000,0,4.6,4.6,"D","2013/2014"
"391","Carl Klingberg","LW","New York Rangers",3,1,0,1,870000,1.15,0,1.15,"D","2013/2014"
"392","Landon Ferraro","C","Minnesota Wild",4,0,0,0,870000,0,0,0,"D","2013/2014"
"393","Brett Bulmer","RW","Minnesota Wild",5,0,0,0,870000,0,0,0,"D","2013/2014"
"394","Greg McKegg","C","Carolina Hurricanes",1,0,0,0,870000,0,0,0,"D","2013/2014"
"395","Jimmy Hayes","RW","New Jersey Devils",55,11,7,18,866667,12.69,8.08,20.77,"D","2013/2014"
"396","Chris Thorburn","RW","St Louis Blues",55,2,9,11,866667,2.31,10.38,12.69,"D","2013/2014"
"397","Adam Payerl","C","Pittsburgh Penguins",2,0,0,0,866667,0,0,0,"D","2013/2014"
"398","Nicklas Jensen","LW","New York Rangers",17,3,3,6,863333,3.47,3.47,6.95,"D","2013/2014"
"399","Tomas Tatar","LW","Vegas Golden Knights",73,19,20,39,840000,22.62,23.81,46.43,"C","2013/2014"
"400","Jason Zucker","LW","Minnesota Wild",21,4,1,5,833333,4.8,1.2,6,"D","2013/2014"
"401","James Sheppard","LW","Free Agent",67,4,16,20,830000,4.82,19.28,24.1,"D","2013/2014"
"402","Dan Carcillo","LW","Free Agent",57,4,1,5,825000,4.85,1.21,6.06,"D","2013/2014"
"403","Stephane Da Costa","C","Inactive",12,3,1,4,825000,3.64,1.21,4.85,"D","2013/2014"
"404","Colin Fraser","C","St Louis Blues",33,0,2,2,825000,0,2.42,2.42,"D","2013/2014"
"405","Colin Greening","LW","Toronto Maple Leafs",76,6,11,17,816667,7.35,13.47,20.82,"D","2013/2014"
"406","Roman Horak","LW","Inactive",3,1,0,1,8e+05,1.25,0,1.25,"D","2013/2014"
"407","Garrett Wilson","LW","Pittsburgh Penguins",3,0,0,0,8e+05,0,0,0,"D","2013/2014"
"408","Michael Latta","C","Free Agent",17,1,3,4,781667,1.28,3.84,5.12,"D","2013/2014"
"409","Tommy Wingels","C","Boston Bruins",77,16,22,38,775000,20.65,28.39,49.03,"C","2013/2014"
"410","Gabriel Bourque","RW","Colorado Avalanche",74,9,17,26,775000,11.61,21.94,33.55,"C","2013/2014"
"411","Steve Bernier","RW","New York Islanders",78,3,9,12,775000,3.87,11.61,15.48,"D","2013/2014"
"412","Ryan Carter","C","Free Agent",62,7,3,10,775000,9.03,3.87,12.9,"D","2013/2014"
"413","Tye McGinn","LW","Arizona Coyotes",18,4,1,5,775000,5.16,1.29,6.45,"D","2013/2014"
"414","Dwight King","LW","Free Agent",77,15,15,30,750000,20,20,40,"C","2013/2014"
"415","Andrew Desjardins","C","New York Rangers",81,3,14,17,750000,4,18.67,22.67,"D","2013/2014"
"416","Dale Weise","RW","Philadelphia Flyers",61,6,10,16,750000,8,13.33,21.33,"D","2013/2014"
"417","Peter Regin","C","Chicago Blackhawks",61,4,7,11,750000,5.33,9.33,14.67,"D","2013/2014"
"418","Tom Sestito","LW","Pittsburgh Penguins",77,5,4,9,750000,6.67,5.33,12,"D","2013/2014"
"419","Brian McGrattan","RW","Free Agent",76,4,4,8,750000,5.33,5.33,10.67,"D","2013/2014"
"420","Krystofer Barch","C","Inactive",55,0,4,4,750000,0,5.33,5.33,"D","2013/2014"
"421","Zac Rinaldo","C","Arizona Coyotes",67,2,2,4,750000,2.67,2.67,5.33,"D","2013/2014"
"422","Joakim Nordstrom","LW","Carolina Hurricanes",16,1,2,3,750000,1.33,2.67,4,"D","2013/2014"
"423","John Scott","LW","Montreal Canadiens",56,1,0,1,750000,1.33,0,1.33,"D","2013/2014"
"424","Paul Bissonnette","LW","Free Agent",39,2,6,8,737500,2.71,8.14,10.85,"D","2013/2014"
"425","Mike Brown","RW","Free Agent",56,2,3,5,736667,2.71,4.07,6.79,"D","2013/2014"
"426","Brad Malone","C","Edmonton Oilers",32,3,2,5,735000,4.08,2.72,6.8,"D","2013/2014"
"427","Luke Adam","C","New York Rangers",12,1,0,1,735000,1.36,0,1.36,"D","2013/2014"
"428","Joakim Andersson","C","Detroit Red Wings",65,8,9,17,732500,10.92,12.29,23.21,"D","2013/2014"
"429","Nicolas Deschamps","C","Inactive",3,0,0,0,726000,0,0,0,"D","2013/2014"
"430","Andrei Loktionov","C","Carolina Hurricanes",68,7,15,22,725000,9.66,20.69,30.34,"C","2013/2014"
"431","Kevin Westgarth","RW","Inactive",48,4,3,7,725000,5.52,4.14,9.66,"D","2013/2014"
"432","Jacob Josefson","C","Buffalo Sabres",27,1,2,3,725000,1.38,2.76,4.14,"D","2013/2014"
"433","Nicolas Deslauriers","RW","Montreal Canadiens",17,1,0,1,716667,1.4,0,1.4,"D","2013/2014"
"434","Brandon McMillan","LW","Vancouver Canucks",22,2,4,6,709500,2.82,5.64,8.46,"D","2013/2014"
"435","Jamie Devane","LW","Toronto Maple Leafs",2,0,0,0,703333,0,0,0,"D","2013/2014"
"436","Nick Bonino","C","Nashville Predators",77,22,27,49,7e+05,31.43,38.57,70,"C","2013/2014"
"437","Craig Adams","RW","Free Agent",82,5,6,11,7e+05,7.14,8.57,15.71,"D","2013/2014"
"438","Jordan Nolan","LW","Buffalo Sabres",64,6,4,10,7e+05,8.57,5.71,14.29,"D","2013/2014"
"439","Tim Kennedy","LW","Inactive",37,2,6,8,7e+05,2.86,8.57,11.43,"D","2013/2014"
"440","Ryan White","C","Free Agent",52,2,4,6,7e+05,2.86,5.71,8.57,"D","2013/2014"
"441","Frazer McLaren","LW","Toronto Maple Leafs",27,0,0,0,7e+05,0,0,0,"D","2013/2014"
"442","Jake Dowell","C","Free Agent",1,0,0,0,7e+05,0,0,0,"D","2013/2014"
"443","Gilbert Brule","C","Inactive",3,0,0,0,685000,0,0,0,"D","2013/2014"
"444","Will Acton","C","Vancouver Canucks",30,3,2,5,680000,4.41,2.94,7.35,"D","2013/2014"
"445","Eric Tangradi","LW","Detroit Red Wings",55,3,3,6,675000,4.44,4.44,8.89,"D","2013/2014"
"446","Jack Skille","RW","Vancouver Canucks",16,4,0,4,675000,5.93,0,5.93,"D","2013/2014"
"447","Jay Rosehill","LW","Philadelphia Flyers",34,2,0,2,675000,2.96,0,2.96,"D","2013/2014"
"448","Andy Miele","C","Philadelphia Flyers",7,0,2,2,675000,0,2.96,2.96,"D","2013/2014"
"449","Chris Porter","LW","Minnesota Wild",22,0,1,1,675000,0,1.48,1.48,"D","2013/2014"
"450","Brandon Yip","RW","Inactive",2,0,0,0,675000,0,0,0,"D","2013/2014"
"451","Jordan Szwarz","RW","Boston Bruins",26,3,0,3,673353,4.46,0,4.46,"D","2013/2014"
"452","Mike Hoffman","LW","Florida Panthers",25,3,3,6,660000,4.55,4.55,9.09,"D","2013/2014"
"453","Darren Archibald","LW","Vancouver Canucks",16,1,2,3,660000,1.52,3.03,4.55,"D","2013/2014"
"454","Lane MacDermid","LW","Inactive",7,0,2,2,660000,0,3.03,3.03,"D","2013/2014"
"455","Eriah Hayes","RW","San Jose Sharks",15,1,0,1,655000,1.53,0,1.53,"D","2013/2014"
"456","Craig Cunningham","LW","Arizona Coyotes",2,0,0,0,651667,0,0,0,"D","2013/2014"
"457","Matt Halischuk","RW","Winnipeg Jets",46,5,5,10,650000,7.69,7.69,15.38,"D","2013/2014"
"458","Blair Jones","C","Philadelphia Flyers",14,2,0,2,650000,3.08,0,3.08,"D","2013/2014"
"459","Steve Pinizzotto","RW","Edmonton Oilers",6,0,2,2,650000,0,3.08,3.08,"D","2013/2014"
"460","James Wright","C","Winnipeg Jets",59,0,2,2,650000,0,3.08,3.08,"D","2013/2014"
"461","Spencer Abbott","RW","Free Agent",1,0,0,0,650000,0,0,0,"D","2013/2014"
"462","Paul Byron","LW","Montreal Canadiens",47,7,14,21,643500,10.88,21.76,32.63,"D","2013/2014"
"463","Jordan Caron","LW","St Louis Blues",35,1,2,3,640000,1.56,3.13,4.69,"D","2013/2014"
"464","Colin McDonald","RW","Philadelphia Flyers",70,8,10,18,637500,12.55,15.69,28.24,"D","2013/2014"
"465","Cody Eakin","C","Vegas Golden Knights",81,16,19,35,636667,25.13,29.84,54.97,"C","2013/2014"
"466","Luke Gazdic","LW","New Jersey Devils",67,2,2,4,635000,3.15,3.15,6.3,"D","2013/2014"
"467","Eric O'Dell","C","Buffalo Sabres",30,3,4,7,630000,4.76,6.35,11.11,"D","2013/2014"
"468","John Persson","LW","Inactive",10,1,0,1,626667,1.6,0,1.6,"D","2013/2014"
"469","Rob Klinkhammer","LW","Edmonton Oilers",72,11,9,20,625000,17.6,14.4,32,"D","2013/2014"
"470","Dustin Jeffrey","C","Arizona Coyotes",34,2,2,4,625000,3.2,3.2,6.4,"D","2013/2014"
"471","Matt Fraser","RW","Chicago Blackhawks",14,2,0,2,625000,3.2,0,3.2,"D","2013/2014"
"472","Cedric Pierre-Labrie","LW","Free Agent",13,0,0,0,625000,0,0,0,"D","2013/2014"
"473","Keith Aucoin","RW","Inactive",2,0,0,0,625000,0,0,0,"D","2013/2014"
"474","Jean-Gabriel Pageau","C","Ottawa Senators",28,2,0,2,613333,3.26,0,3.26,"D","2013/2014"
"475","Antoine Roussel","LW","Dallas Stars",81,14,15,29,612500,22.86,24.49,47.35,"C","2013/2014"
"476","Tim Jackman","RW","Chicago Blackhawks",36,4,1,5,612500,6.53,1.63,8.16,"D","2013/2014"
"477","John McCarthy","LW","San Jose Sharks",36,1,1,2,612500,1.63,1.63,3.27,"D","2013/2014"
"478","Derek Grant","C","Anaheim Ducks",20,0,2,2,605000,0,3.31,3.31,"D","2013/2014"
"479","Brandon Mashinter","LW","Free Agent",6,0,0,0,605000,0,0,0,"D","2013/2014"
"480","Joe Colborne","C","Colorado Avalanche",80,10,18,28,6e+05,16.67,30,46.67,"C","2013/2014"
"481","Justin Fontaine","RW","Free Agent",66,13,8,21,6e+05,21.67,13.33,35,"D","2013/2014"
"482","Jesse Winchester","C","Colorado Avalanche",52,9,9,18,6e+05,15,15,30,"D","2013/2014"
"483","Mark Arcobello","C","Free Agent",41,4,14,18,6e+05,6.67,23.33,30,"D","2013/2014"
